UavEast	UavNorth
[meter]	[meter]
748892	3637724
748892	3637724
748892	3637724
748892	3637724
748892	3637724
748892	3637724
748896	3637735
748896	3637735
748896	3637735
748896	3637735
748896	3637735
748896	3637735
748896	3637735
748901	3637745
748901	3637745
748901	3637745
748904	3637753
748904	3637753
748904	3637753
748904	3637753
748904	3637753
748904	3637753
748904	3637753
748904	3637753
748904	3637753
748904	3637753
748908	3637763
748908	3637763
748908	3637763
748908	3637763
748908	3637763
748911	3637771
748911	3637771
748911	3637771
748911	3637771
748911	3637771
748915	3637781
748915	3637781
748915	3637781
748915	3637781
748915	3637781
748915	3637781
748915	3637781
748918	3637793
748918	3637793
748918	3637793
748918	3637793
748918	3637793
748918	3637793
748918	3637793
748918	3637793
748918	3637793
748918	3637793
748925	3637811
748925	3637811
748925	3637811
748925	3637811
748925	3637811
748925	3637811
748925	3637811
748925	3637811
748925	3637811
748925	3637811
748928	3637820
748928	3637820
748928	3637820
748928	3637820
748928	3637820
748931	3637831
748931	3637831
748931	3637831
748931	3637831
748931	3637831
748931	3637831
748931	3637831
748931	3637831
748933	3637842
748933	3637842
748933	3637842
748933	3637842
748933	3637842
748933	3637842
748933	3637842
748936	3637850
748936	3637850
748936	3637850
748936	3637850
748936	3637850
748939	3637861
748939	3637861
748939	3637861
748939	3637861
748939	3637861
748939	3637861
748939	3637861
748939	3637861
748941	3637872
748941	3637872
748941	3637872
748941	3637872
748941	3637872
748941	3637872
748941	3637872
748941	3637872
748941	3637872
748941	3637872
748943	3637882
748943	3637882
748943	3637882
748943	3637882
748943	3637882
748945	3637891
748945	3637891
748945	3637891
748945	3637891
748945	3637891
748948	3637901
748948	3637901
748948	3637901
748948	3637901
748948	3637901
748950	3637913
748950	3637913
748950	3637913
748950	3637913
748950	3637913
748950	3637913
748950	3637913
748950	3637913
748951	3637922
748951	3637922
748951	3637922
748951	3637922
748951	3637922
748953	3637932
748953	3637932
748953	3637932
748953	3637932
748953	3637932
748953	3637932
748953	3637932
748955	3637941
748955	3637941
748955	3637941
748955	3637941
748955	3637941
748955	3637953
748955	3637953
748955	3637953
748955	3637953
748955	3637953
748955	3637953
748955	3637953
748955	3637953
748955	3637953
748955	3637953
748957	3637964
748957	3637964
748957	3637964
748957	3637964
748957	3637964
748957	3637964
748957	3637964
748957	3637964
748958	3637973
748958	3637973
748958	3637973
748958	3637973
748958	3637973
748959	3637983
748959	3637983
748959	3637983
748959	3637983
748959	3637983
748960	3637995
748960	3637995
748960	3637995
748960	3637995
748960	3637995
748960	3637995
748960	3637995
748960	3637995
748961	3638004
748961	3638004
748961	3638004
748961	3638004
748962	3638015
748962	3638015
748962	3638015
748962	3638015
748962	3638015
748962	3638015
748962	3638015
748962	3638015
748962	3638025
748962	3638025
748962	3638025
748962	3638025
748962	3638025
748962	3638025
748962	3638025
748962	3638025
748962	3638025
748962	3638025
748962	3638037
748962	3638037
748962	3638037
748962	3638037
748962	3638037
